Year	Grid	Season	Tag	Mass	Status
Y1999	GC	June	C3916	26	None
Y1999	GC	July	C3916	24	None
Y1999	GC	June	C3918	23	None
Y1999	GC	July	C3918	23	None
Y1999	GC	August	C3918	23	None
Y1999	GC	June	C3920	20	None
Y1999	GC	July	C3920	20	None
Y1999	GC	August	C3920	19	None
Y1999	GC	September	C3920	22	None
Y1999	GC	June	C3921	13	None
Y1999	GC	July	C3921	15	None
Y1999	GC	August	C3921	17	None
Y1999	GC	September	C3921	17	None
Y1999	GC	July	C3923	21	None
Y1999	GC	August	C3923	21	None
Y1999	GC	June	C3931	25	None
Y1999	GC	July	C3935	17	None
Y1999	GC	June	C3937	24	None
Y1999	GC	June	C3937	23	None
Y1999	GC	July	C3937	23	None
Y1999	GC	August	C3937	23	None
Y1999	GC	September	C3937	22	None
Y1999	GC	October	C3937	23	None
Y1999	GC	November	C3937	23	None
Y1999	GC	September	C3937	22	None
Y1999	GC	October	C3937	24	None
Y1999	GC	November	C3937	24	None
Y1999	GC	July	C3940	17	None
Y1999	GC	July	C3940	15	None
Y1999	GC	August	C3940	18	None
Y1999	GC	June	C3945	22	None
Y1999	GC	June	C3946	21	None
Y1999	GC	June	C3946	19	None
Y1999	GC	July	C3946	21	None
Y1999	GC	August	C3946	21	None
Y1999	GC	June	C3947	25	None
Y1999	GC	June	C3947	23	None
Y1999	GC	July	C3947	24	None
Y1999	GC	August	C3947	24	None
Y1999	GC	June	C3950	23	None
Y1999	GC	June	C3950	23	None
Y1999	GC	July	C3950	24	None
Y1999	GC	June	C3954	20	None
Y1999	GC	June	C3954	21	None
Y1998	GC	October	C3955	16	None
Y1998	GC	September	C3956	19	None
Y1998	GC	October	C3961	18	None
Y1998	GC	October	C3978	16	None
Y1999	GC	June	C3989	23	None
Y1999	GC	June	C3989	23	None
Y1999	GC	June	C3999	24	None
Y1999	GC	July	C3999	24	None
Y1999	GC	August	C3999	22	None
Y1999	GC	September	C3999	25	None
Y1999	GC	October	C3999	23	None
Y1998	GC	September	C4075	15	None
Y1998	GC	May	C4081	24	None
Y1998	GC	August	C4082	28	None
Y1998	TC	July	C4149	26	None
Y1998	TC	August	C4149	26	None
Y1999	TC	June	C4149	26	None
Y1999	TC	July	C4149	24	None
Y1999	TC	August	C4149	24	None
Y1999	TC	September	C4149	28	None
Y1998	TC	July	C4151	26	None
Y1998	TC	August	C4151	27	None
Y1998	TC	September	C4151	27	None
Y1998	TC	July	C4153	26	None
Y1998	TC	August	C4153	29	None
Y1998	TC	July	C4166	20	None
Y1998	TC	August	C4166	22	None
Y1998	TC	September	C4166	22	None
Y1999	TC	September	C4170	21	None
Y1999	TC	October	C4170	24	None
Y1999	TC	September	C4175	22	None
Y1999	TC	October	C4191	23	None
Y1999	TC	November	C4191	23	None
Y1998	TC	October	C4192	19	None
Y1998	GC	August	C4201	20	None
Y1998	GC	September	C4212	21	None
Y1998	GC	September	C4223	21	None
